["france", 8351]
["sroyal", 8317]
["primaires", 7880]
["politique", 5660]
["primaire", 4851]
["faire", 4266]
["soir", 4152]
["invit\u00e9e", 4030]
["bien", 4025]
["rochelle", 3955]
["dit", 3255]
["moi", 3139]
["d\u00e9bat", 3134]
["campagne", 3032]
["\u00e9t\u00e9", 2943]
["gauche", 2856]
["non", 2835]
["candidate", 2659]
["l\u00e9gislatives", 2563]
["bon", 2314]
["presse", 2264]
["fran\u00e7ais", 2242]
["porte", 2242]
["voir", 2241]
["ans", 2220]
["meeting", 2202]
["vid\u00e9o", 2115]
["grand", 2069]
["pr\u00e9sidente", 2004]
["femme", 1972]
["oui", 1937]
["peillon", 1934]
["vote", 1914]
["bfmtv", 1909]
["dire", 1868]
["cirque", 1857]
["dpda", 1847]
["jour", 1820]
["voter", 1795]
["peut", 1784]
["poitou", 1766]
["demain", 1752]
["sondages", 1741]
["septembre", 1729]
["droite", 1723]
["socialiste", 1723]
["dsk", 1710]
["rien", 1699]
["dimanche", 1697]
["banques", 1690]
["assembl\u00e9e", 1690]
["pr\u00e9sidentielle", 1659]
["merci", 1633]
["face", 1616]
["pourquoi", 1567]
["europe", 1559]
["ayrault", 1546]
["dailymotion", 1532]
["victoire", 1528]
["revue", 1520]
["octobre", 1517]
["onpc", 1511]
["tour", 1496]
["cheese", 1493]
["monde", 1488]
["raison", 1470]
["perchoir", 1450]
["mme", 1449]
["video", 1448]
["vie", 1440]
["site", 1421]
["nationale", 1410]
["photo", 1406]
["jean", 1401]
["juste", 1400]
["soda", 1384]
["parle", 1379]
["place", 1366]
["retour", 1356]
["trop", 1343]
["premier", 1306]
["r\u00e9gion", 1301]
["suite", 1291]
["matin", 1276]
["contrat", 1274]
["t\u00eate", 1262]
["petit", 1253]
["ump", 1233]
["viens", 1228]
["hier", 1214]
["montreuil", 1213]
["fois", 1209]
["soutien", 1187]
["propose", 1180]
["nouveau", 1176]
["larmes", 1171]
["charentes", 1170]
["peu", 1170]
["paris", 1170]
["main", 1167]
["semaine", 1165]
["direct", 1164]
["voix", 1163]
["premi\u00e8re", 1162]
["bfm", 1160]
["propos", 1160]
