["france", 35038]
["modem", 32876]
["quot", 18725]
["fran\u00e7ais", 17942]
["dpda", 17082]
["campagne", 16900]
["politique", 16424]
["pr\u00e9sidentielle", 16381]
["candidat", 13971]
["pays", 12576]
["vote", 12308]
["faire", 12096]
["tour", 11849]
["bien", 11403]
["meeting", 10703]
["soir", 10079]
["pr\u00e9sident", 9880]
["droite", 9356]
["rassemblement", 8996]
["peut", 8897]
["voter", 8305]
["dit", 8229]
["ump", 8213]
["centre", 7969]
["programme", 7782]
["europe", 7639]
["bon", 7627]
["non", 7597]
["presidentielle", 7307]
["rien", 7177]
["dire", 6909]
["gauche", 6895]
["discours", 6868]
["agenda", 6742]
["moi", 6512]
["doit", 6239]
["produire", 6188]
["propose", 5979]
["bfmtv", 5961]
["invit\u00e9", 5654]
["toulouse", 5631]
["monde", 5630]
["merci", 5627]
["vie", 5596]
["avril", 5526]
["v\u00e9rit\u00e9", 5351]
["ans", 5249]
["homme", 5124]
["propositions", 5111]
["bayrouday", 5077]
["candidats", 5064]
["grand", 5043]
["pdc", 5041]
["direct", 5011]
["oui", 4960]
["temps", 4869]
["\u00e9lection", 4697]
["d\u00e9bat", 4684]
["parle", 4530]
["premier", 4510]
["avons", 4466]
["site", 4388]
["face", 4365]
["sondages", 4288]
["\u00e9t\u00e9", 4204]
["nouveau", 4201]
["crise", 4180]
["pourquoi", 4121]
["amp", 4113]
["dette", 4108]
["dimanche", 4107]
["votez", 4076]
["fois", 4068]
["peu", 4067]
["deux", 4062]
["second", 3955]
["lgj", 3945]
["code", 3923]
["demain", 3906]
["voir", 3898]
["projet", 3891]
["nationale", 3817]
["peuple", 3802]
["twitter", 3802]
["pouvoir", 3793]
["fran\u00e7aise", 3784]
["besoin", 3781]
["r\u00e9f\u00e9rendum", 3761]
["paris", 3708]
["soutien", 3699]
["marseille", 3686]
["moins", 3652]
["lyon", 3648]
["vrai", 3630]
["mieux", 3599]
["trop", 3592]
["konami", 3525]
["bordeaux", 3509]
["z\u00e9nith", 3508]
["sarnez", 3494]
["publique", 3478]
["bonne", 3468]
["vid\u00e9o", 3457]
["sortir", 3456]
["emploi", 3385]
["juin", 3330]
["sondage", 3301]
["\u00e9ducation", 3242]
["question", 3156]
["lafrancesolidaire", 3106]
["matin", 3087]
["pense", 3003]
["capital", 2997]
["questions", 2994]
["raison", 2975]
["gens", 2971]
["parler", 2957]
["jean", 2923]
["place", 2923]
["juste", 2905]
["politiques", 2880]
["jeunes", 2819]
["enfin", 2798]
["fin", 2789]
["travail", 2773]
["etat", 2772]
["ministre", 2712]
["r\u00e9publique", 2690]
["mois", 2657]
["strasbourg", 2654]
["rtl", 2633]
["onpc", 2632]
["appelle", 2631]
["choix", 2610]
["point", 2603]
["mal", 2597]
["soutiens", 2594]
["devant", 2573]
["beaucoup", 2559]
["angers", 2549]
["journal", 2533]
["suivez", 2532]
["aime", 2522]
["droit", 2520]
["\u00e9lu", 2503]
["loi", 2490]
["enfants", 2485]
["minutes", 2483]
["ici", 2470]
["mes", 2459]
["avenir", 2453]
["accord", 2438]
["id\u00e9e", 2430]
["changer", 2387]
["entreprises", 2380]
["hier", 2377]
["petit", 2369]
["parole", 2361]
["\u00e9tat", 2351]
["douste", 2346]
["parti", 2346]
["\u00e9quipe", 2329]
["t\u00eate", 2320]
["candidature", 2307]
["compte", 2306]
["centriste", 2305]
["bayroupresident", 2287]
["mars", 2277]
["soutenir", 2276]
["tours", 2272]
["solidaire", 2271]
["blanc", 2269]
["ensemble", 2266]
["bravo", 2264]
["soci\u00e9t\u00e9", 2259]
["\u00e9mission", 2257]
["mod\u00e8le", 2252]
["d\u00e9mocratie", 2236]
["espoir", 2229]
["mettre", 2228]
["nantes", 2223]
["crois", 2219]
["social", 2211]
["citoyens", 2210]
["personne", 2208]
["retour", 2207]
["utile", 2196]
["moralisation", 2195]
["id\u00e9es", 2179]
["chose", 2145]
["moment", 2145]
["jour", 2138]
["situation", 2111]
["majorit\u00e9", 2110]
["interview", 2109]
["figaro", 2093]
["sens", 2087]
["lille", 2083]
["confiance", 2079]
["reste", 2059]
["femmes", 2059]
["blazy", 2053]
["morin", 2052]
["cr\u00e9dible", 2033]
["allons", 2024]
["points", 2007]
["m\u00e9dias", 2004]
["production", 1994]
["nouvelle", 1979]
["public", 1979]
["valeurs", 1978]
["contrat", 1973]
["suivre", 1972]
["cet", 1971]
["gagner", 1965]
["changement", 1957]
["presse", 1957]
["jours", 1938]
["rennes", 1920]
["urmodem", 1887]
["propos", 1887]
["doivent", 1872]
["salle", 1866]
["hommes", 1862]
["allez", 1853]
["famille", 1851]
["dunkerque", 1846]
["\u00e8me", 1821]
["r\u00e9ponse", 1821]
["trouve", 1814]
["elysee", 1813]
["\u00e9cole", 1809]
["d\u00e9nonce", 1797]
["aucun", 1791]
["tva", 1788]
["voix", 1785]
["rouen", 1774]
["grenoble", 1761]
["passe", 1758]
["solidarit\u00e9", 1747]
["proposition", 1746]
["meilleur", 1737]
["sujet", 1726]
["vot\u00e9", 1724]
["clip", 1724]
["personnes", 1721]
["gouvernement", 1720]
["lire", 1714]
["plan", 1710]
["strat\u00e9gie", 1704]
["haut", 1683]
["courage", 1678]
["cas", 1673]
["ann\u00e9es", 1673]
["donne", 1663]
["marielle", 1662]
["cr\u00e9er", 1658]
["force", 1657]
["union", 1646]
["\u00e9lecteurs", 1646]
["dailymotion", 1644]
["assez", 1629]
["info", 1617]
["coup", 1616]
["probl\u00e8mes", 1614]
["borloo", 1611]
["d\u00e9penses", 1610]
["de\u2026", 1606]
["pr\u00e9sidentielles", 1600]
["veulent", 1589]
["devons", 1567]
["r\u00e9union", 1563]
["uni", 1563]
["amis", 1558]
["extr\u00eames", 1545]
["rmc", 1545]
["partir", 1544]
["faites", 1539]
["r\u00e9siste", 1539]
["premi\u00e8re", 1537]
["choses", 1532]
["caen", 1531]
["partis", 1528]
["sait", 1523]
["heures", 1518]
["centristes", 1515]
["ton", 1510]
["possible", 1505]
["fond", 1505]
["excellent", 1501]
["justice", 1499]
["mot", 1498]
["d\u00e9put\u00e9s", 1496]
["histoire", 1492]
["bas", 1491]
["instruire", 1488]
["jeu", 1488]
["autant", 1483]
["rfpol", 1482]
["sujets", 1481]
["salon", 1476]
["zenith", 1468]
["produit", 1465]
["num\u00e9rique", 1462]
["salari\u00e9s", 1461]
["derri\u00e8re", 1460]
["livetweetez", 1457]
["journalistes", 1454]
["dernier", 1453]
["prend", 1450]
["prendre", 1448]
["vision", 1445]
["yeux", 1442]
["euro", 1440]
["syst\u00e8me", 1423]
["probl\u00e8me", 1419]
["internet", 1417]
["web", 1413]
["ch\u00f4mage", 1412]
["emplois", 1410]
["d\u00e9ficit", 1392]
["prix", 1391]
["sociale", 1388]
["acheter", 1385]
["milliards", 1377]
["fort", 1371]
["nombre", 1365]
["retrouvez", 1364]
["train", 1364]
["porte", 1363]
["quelle", 1359]
["paroles", 1358]
["image", 1349]
["\u00e9galit\u00e9", 1348]
["pr\u00e9sente", 1346]
["clair", 1344]
["libre", 1342]
["demande", 1335]
["voit", 1334]
